#{"t_start": 1738319537.8338854, "env_id": null}
r,l,t
587473.4,8000,4629.647342
602901.4,8000,4634.635223
689479.6,8000,4639.625823
822884.4,8000,4644.615638
488060.4,8000,4650.684015
569571.8,8000,4655.694495
864476.8,8000,4660.695043
802521.4,8000,4665.716691
773666.2,8000,4670.75414
443532.4,8000,4677.916387
1114337.8,8000,4682.90444
657523.8,8000,4687.893111
425032.6,8000,4692.890712
-6741.8,8000,4697.937338
559753.8,8000,4705.11948
1111019.2,8000,4710.111813
536634.2,8000,4715.097167
1369016.0,8000,4720.085798
831214.4,8000,4725.074423
456375.8,8000,4732.244765
-7717.4,8000,4737.30603
448211.0,8000,4742.320909
-8040.4,8000,4747.387813
637670.2,8000,4752.411968
522216.8,8000,4759.576895
614777.2,8000,4764.549533
628893.4,8000,4769.521278
-12862.0,8000,4774.564819
1189596.4,8000,4779.536153
-15583.8,8000,4786.748401
-8816.2,8000,4791.799944
1553449.2,8000,4796.800337
1343876.6,8000,4801.792933
-16022.6,8000,4806.833634
1956064.4,8000,4814.255821
-9930.4,8000,4819.295006
1322525.4,8000,4824.292097
1652181.0,8000,4829.292746
1926546.6,8000,4834.287904
1859011.8,8000,4841.460838
1989589.2,8000,4846.46625
2057392.0,8000,4851.476856
-10025.2,8000,4856.544836
1943236.8,8000,4861.556382
-10079.2,8000,4868.778196
3101538.6,8000,4873.781823
-9765.2,8000,4878.815112
2658606.0,8000,4883.800256
2647037.2,8000,4888.785138
2018820.8,8000,4895.942667
-16013.8,8000,4900.987846
-9746.8,8000,4906.026202
2027625.8,8000,4911.025473
-1390.2,8000,4916.054993
2164651.6,8000,4923.219518
2278630.4,8000,4928.207886
1656163.4,8000,4933.192591
-10369.6,8000,4938.244638
-8164.2,8000,4943.277763
-16135.8,8000,4950.489461
-15411.8,8000,4955.53099
3046217.6,8000,4960.537973
2144418.2,8000,4965.574715
-9511.0,8000,4970.631303
2715015.6,8000,4977.814065
3017761.0,8000,4982.81324
-16101.6,8000,4987.854402
-16087.8,8000,4992.896564
3085131.0,8000,4997.898536
2415636.4,8000,5005.061915
-9141.8,8000,5010.079537
-4168.0,8000,5015.09413
-15906.2,8000,5020.11945
-16093.6,8000,5025.141859
-9870.2,8000,5032.360838
-10328.2,8000,5037.402138
1130392.0,8000,5042.386368
2248260.2,8000,5047.37865
-8034.8,8000,5052.424406
2434210.0,8000,5059.619311
-9068.2,8000,5064.675477
-9487.0,8000,5069.734662
1756546.8,8000,5074.746541
-8757.8,8000,5079.796539
2350206.4,8000,5086.992734
-10349.6,8000,5092.034741
2247362.6,8000,5097.028799
-9311.0,8000,5102.06752
-2070.4,8000,5107.100359
2274855.4,8000,5114.287436
2414462.0,8000,5119.296877
-15981.8,8000,5124.342415
-9696.8,8000,5129.379354
-10149.4,8000,5134.417767
2338756.8,8000,5141.594653
2556547.8,8000,5146.58456
919863.8,8000,5151.558373
2812641.8,8000,5156.547955
2931822.2,8000,5161.532688
3754317.2,8000,5168.714717
-10353.2,8000,5173.745865
4115144.2,8000,5178.743011
-9343.4,8000,5183.772873
3900002.8,8000,5188.757097
4162254.0,8000,5196.009247
-10821.6,8000,5201.09911
3881871.6,8000,5206.137787
1813734.4,8000,5211.171914
-15498.6,8000,5216.277041
4184297.2,8000,5223.523428
-10504.4,8000,5228.582474
-10507.8,8000,5233.645682
